region,Hemisphere,seg_index,face,plot_order
mAmyg,R,212,lateral,1
rHipp,R,216,lateral,2
lAmyg,R,214,lateral,3
cHipp,R,218,lateral,4
dCa,R,228,lateral,5
rTtha,R,238,lateral,6
cTtha,R,244,lateral,7
Otha,R,242,lateral,8
PPtha,R,240,lateral,9
lPFtha,R,246,lateral,10
mPMtha,R,234,lateral,11
Stha,R,236,lateral,12
NAC,R,224,lateral,13
vCa,R,220,lateral,14
vmPu,R,226,lateral,15
GP,R,222,lateral,16
dlPu,R,230,lateral,17
dlPu,R,230,medial,18
vmPu,R,226,medial,19
GP,R,222,medial,20
vCa,R,220,medial,21
NAC,R,224,medial,22
lAmyg,R,214,medial,23
cHipp,R,218,medial,24
rHipp,R,216,medial,25
Stha,R,236,medial,26
lPFtha,R,246,medial,27
PPtha,R,240,medial,28
mPFtha,R,232,medial,29
Otha,R,242,medial,30
cTtha,R,244,medial,31
mPMtha,R,234,medial,32
rTtha,R,238,medial,33
mAmyg,R,212,medial,34
dCa,R,228,medial,35
cHipp,R,218,superior,36
rHipp,R,216,superior,37
vmPu,R,226,superior,38
NAC,R,224,superior,39
mPFtha,R,232,superior,40
Stha,R,236,superior,41
mPMtha,R,234,superior,42
PPtha,R,240,superior,43
Otha,R,242,superior,44
cTtha,R,244,superior,45
rTtha,R,238,superior,46
vCa,R,220,superior,47
vmPu,R,226,superior,48
dlPu,R,230,superior,49
GP,R,222,superior,50
cTtha,R,244,inferior,51
dCa,R,228,superior,52
dCa,R,228,inferior,53
rTtha,R,238,inferior,54
mPFtha,R,232,inferior,55
dlPu,R,230,inferior,56
vmPu,R,226,inferior,57
vCa,R,220,inferior,58
NAC,R,224,inferior,59
Otha,R,242,inferior,60
PPtha,R,240,inferior,61
lPFtha,R,246,inferior,62
Stha,R,236,inferior,63
lAmyg,R,214,inferior,64
mAmyg,R,212,inferior,65
rHipp,R,216,inferior,66
cHipp,R,218,inferior,67